Species,DBH,Trunks,Condition,Cavity Present,Weak Fork,Percentage of Dead Wood,Size of Existing Defect,Hazard Rating,Probability of Failure,Target Impact,Maintenance,Clean,Raise,Reduce,Other,Further Inspection,Consult,Utilities Present,Plant Location,Area,Staff,Location Value,Ground Maintenance,Address,On Street,From Street,To Street,X-Coord,Y-Coord,Inventory Date,Change Date,Last Changed By,UniqueID,Site ID
Acer platanoides,29,1,Poor,No,No,26 - 50,4 to 20,9,Extremely High,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Above 4,7,AD,Good,No,"96 POWDER HOUSE BOULEVARD Front  1",POWDER HOUSE BOULEVARD,PACKARD AVE,MASON ST,758238.76,2972377.6,6/17/2009,11/14/2009,Brad Arndt,2995,7029
Acer platanoides,29,1,Poor,Yes,No,0 - 25,4 to 20,7,High,Intermittent,Maintain,Yes,Yes,Yes,Durable Species,No,No,No,Tree Pit or Planter,7,AD,Good,No,"34 WHITFIELD RD Front  2",WHITFIELD RD,CURTIS ST,PACKARD AVE,757695.67,2973215.71,6/17/2009,11/14/2009,Brad Arndt,2959,6993
Acer platanoides,29,1,Poor,Yes,No,0 - 25,4 to 20,9,Extremely High,Frequent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"45 JOSEPHINE AVE Front  1",JOSEPHINE AVE,MORRISON AVE,KIDDER AVE,760440.34,2969891.38,6/11/2009,11/14/2009,Brad Arndt,1734,5799
Acer platanoides,29,1,Poor,Yes,No,0 - 25,Greater than 20,10,Extremely High,Frequent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,AD,Good,No,"169 MORRISON AVE Front  1",MORRISON AVE,LIBERTY ROAD,MORRISON PLACE,759281.33,2969835.26,6/12/2009,11/14/2009,Brad Arndt,1982,6044
Acer platanoides,29,1,Poor,Yes,No,26 - 50,Greater than 20,8,High,Intermittent,Remove,No,No,No,Durable Species,No,No,No,Above 4,4,RG,Good,No,"350 MYSTIC AVE Side  1",FELLSWAY WEST,MYSTIC AVE,JAQUES ST,767800.39,2968680.97,6/4/2009,11/14/2009,Brad Arndt,6597,4211
Acer platanoides,29,1,Poor,Yes,No,26 - 50,Greater than 20,9,Extremely High,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"54 PEARSON AVE Front  1",PEARSON AVE,KIDDER AVE,MORRISON AVE,761043.28,2969744.36,6/11/2009,11/14/2009,Brad Arndt,1895,5957
Acer platanoides,30,1,Fair,No,No,0 - 25,1 to 4,6,High,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"29 PEARSON AVE Front  1",PEARSON AVE,MORRISON AVE,KIDDER AVE,760954.29,2969490.89,6/11/2009,11/14/2009,Brad Arndt,1907,5969
Acer platanoides,30,1,Fair,No,No,0 - 25,1 to 4,6,Moderate,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Open or Unrestricted,6,AD,Good,No,"50 POWDER HOUSE BOULEVARD Front  1",POWDER HOUSE BOULEVARD,LEONARD ST,POWDERHOUSE ROTARY,758836.76,2971835.69,6/18/2009,11/14/2009,Brad Arndt,3111,7144
Acer platanoides,30,1,Fair,No,No,0 - 25,4 to 20,9,Extremely High,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Open or Unrestricted,7,AD,Good,No,"120 POWDER HOUSE BOULEVARD Front  1",POWDER HOUSE BOULEVARD,PACKARD AVE,MASON ST,757913.59,2972565.93,6/17/2009,11/14/2009,Brad Arndt,2987,7021
Acer platanoides,30,1,Fair,No,Yes,0 - 25,4 to 20,8,High,Frequent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Above 4,7,AD,Good,No,"182 POWDER HOUSE BOULEVARD Front  1",POWDER HOUSE BOULEVARD,DOW ST,HARDAN RD,756902.59,2973206.48,6/19/2009,11/14/2009,Brad Arndt,3379,7402
Acer platanoides,30,1,Fair,Yes,No,0 - 25,4 to 20,8,High,Intermittent,Maintain,Yes,No,No,Avg. Species or Mod. Strength,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"7 GREENE ST Front  1",GREENE ST,LAUREL ST,DEAD END,763212.94,2965391.26,5/16/2009,11/14/2009,Brad Arndt,4191,613
Acer platanoides,30,1,Fair,Yes,No,None,4 to 20,5,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,4,RG,Good,No,"26 FREMONT AVE Front  1",FREMONT AVE,MEACHAM ST,MAIN ST,764597.8,2970198.86,6/5/2009,11/14/2009,Brad Arndt,6892,4506
Acer platanoides,30,1,Poor,Yes,No,0 - 25,4 to 20,8,Extremely High,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"8 WATERHOUSE ST Front  1",WATERHOUSE ST,WOODSTOCK ST,BROADWAY,755564.67,2973049.56,6/13/2009,11/14/2009,Brad Arndt,8658,8340
Acer platanoides,30,1,Poor,Yes,No,0 - 25,Greater than 20,8,Moderate,Frequent,Remove,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"105 X HOLLAND ST Front  2",HOLLAND ST,SIMPSON AVE,PAULINA ST,757524.39,2970782.87,6/12/2009,11/14/2009,Brad Arndt,8420,8104
Acer platanoides,31,1,Fair,Yes,No,0 - 25,1 to 4,5,Moderate,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"69 CONWELL AVE Side  1",WEST ADAMS ST,CONWELL AVE,CHETWYND ROAD,756679.54,2973984.31,6/16/2009,11/14/2009,Brad Arndt,9128,8793
Acer platanoides,31,1,Fair,Yes,No,0 - 25,1 to 4,7,High,Frequent,Maintain,Yes,Yes,Yes,Durable Species,Yes,Yes,Yes,Tree Pit or Planter,6,AD,Good,No,"231 WILLOW AVE Front  1",WILLOW AVE,KIDDER AVE,BROADWAY,760483.32,2970446.4,6/12/2009,11/14/2009,Brad Arndt,2201,6256
Acer platanoides,31,1,Fair,Yes,No,0 - 25,4 to 20,6,Moderate,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,No,Above 4,4,RG,Good,No,"60 FELLSWAY WEST Front  1",FELLSWAY WEST,MYSTIC AVE,JAQUES ST,767455.47,2968339.33,6/4/2009,11/14/2009,Brad Arndt,6607,4219
Acer platanoides,31,1,Fair,Yes,No,0 - 25,4 to 20,8,Extremely High,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,No,Above 4,4,RG,Good,No,"34 FELLSWAY WEST Front  1",FELLSWAY WEST,JAQUES ST,BROADWAY,767200.68,2968082.81,6/4/2009,11/14/2009,Brad Arndt,6587,4201
Acer platanoides,31,1,Poor,Yes,No,26 - 50,4 to 20,8,High,Frequent,Maintain,Yes,No,No,Durable Species,Yes,Yes,Yes,Open or Unrestricted,6,AD,Good,No,"17 LATIN WAY Side  2",TALBOT AVE,LATIN WAY,PACKARD AVE,758524.01,2973041.92,6/17/2009,11/14/2009,Brad Arndt,2854,6888
Acer platanoides,31,1,Poor,Yes,No,None,4 to 20,9,Extremely High,Intermittent,Remove,No,No,No,Avg. Species or Mod. Strength,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"38 WATERHOUSE ST Front  1",WATERHOUSE ST,WOODSTOCK ST,BROADWAY,755326.64,2972759.02,6/13/2009,6/13/2009,Administrator,8655,8335
Acer platanoides,32,1,Fair,No,No,0 - 25,Greater than 20,8,High,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,AD,Good,No,"58 LIBERTY AVE Front  1",LIBERTY AVE,KIDDER AVE,MALLET ST,759809.39,2970685.78,6/15/2009,11/14/2009,Brad Arndt,2389,6444
Acer platanoides,32,1,Poor,No,No,0 - 25,4 to 20,8,High,Frequent,Remove,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,6,AD,Good,No,"11 X POWDER HOUSE BOULEVARD Front  35",POWDER HOUSE BOULEVARD,POWDERHOUSE ROTARY,PACKARD AVE,758350.9,2972374.09,6/18/2009,11/14/2009,Brad Arndt,3162,7195
Acer platanoides,32,1,Poor,Yes,No,0 - 25,1 to 4,6,High,Intermittent,Maintain,Yes,No,No,Durable Species,Yes,Yes,No,Tree Pit or Planter,6,AD,Good,No,"11 BURNHAM ST Front  1",BURNHAM ST,BROADWAY,POWDER HOUSE BOULEVARD,758427.29,2971652.14,6/18/2009,11/14/2009,Brad Arndt,3067,7100
Acer platanoides,32,1,Poor,Yes,Yes,0 - 25,4 to 20,7,High,Intermittent,Maintain,Yes,No,No,Durable Species,Yes,Yes,Yes,Tree Pit or Planter,7,RG,Good,No,"141 WEST ADAMS ST Front  1",WEST ADAMS ST,BAILEY ST,CONWELL AVE,756735.32,2974159.5,6/16/2009,11/14/2009,Brad Arndt,9125,8790
Acer platanoides,32,1,Poor,Yes,Yes,0 - 25,4 to 20,9,High,Frequent,Remove,No,No,No,Avg. Species or Mod. Strength,No,No,Yes,Tree Pit or Planter,6,AD,Good,No,"68 JOSEPHINE AVE Side  1",KIDDER AVE,JOSEPHINE AVE,WILLOW AVE,760460.59,2970139.91,6/11/2009,11/14/2009,Brad Arndt,1711,5776
Acer platanoides,33,1,Fair,No,No,0 - 25,1 to 4,6,High,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,No,Tree Pit or Planter,7,AD,Good,No,"33 OSSIPEE RD Front  1",OSSIPEE RD,MASON ST,PACKARD AVE,757992.59,2972302.42,6/17/2009,11/14/2009,Brad Arndt,3006,7040
Acer platanoides,33,1,Fair,Yes,No,0 - 25,1 to 4,7,High,Frequent,Maintain,Yes,No,No,Durable Species,No,No,Yes,Below 4,7,RG,Good,No,"21 CAMERON AVE Front  1",CAMERON AVE,HOLLAND ST,MEAD ST,756880.62,2971114.32,6/12/2009,11/14/2009,Brad Arndt,8484,8167
Acer platanoides,33,1,Fair,Yes,No,0 - 25,1 to 4,7,High,Intermittent,Maintain,Yes,No,No,Avg. Species or Mod. Strength,No,No,Yes,Tree Pit or Planter,3,RG,Good,No,"76 BERKELEY ST Front  1",BERKELEY ST,CENTRAL ST,SCHOOL ST,763180.3,2966289.39,5/15/2009,11/14/2009,Brad Arndt,4117,539
Acer platanoides,33,1,Fair,Yes,Yes,None,4 to 20,7,High,Intermittent,Maintain,No,No,No,Durable Species,Yes,Yes,Yes,Tree Pit or Planter,7,AD,Good,No,"12 HAMILTON RD Front  1",HAMILTON RD,RUSSELL RD,NORTH ST,756048.17,2973440.16,6/18/2009,11/14/2009,Brad Arndt,3320,7349
Acer platanoides,44,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Open or Unrestricted,7,AD,Good,No,"126 POWDER HOUSE BOULEVARD Front  1",POWDER HOUSE BOULEVARD,CURTIS ST,PACKARD AVE,757787.7,2972637.07,6/19/2009,11/14/2009,Brad Arndt,3493,7518
Acer pseudoplatanus,1,3,Fair,No,No,None,1 to 4,4,Low,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,AD,Poor,No,"8 SPENCER AVE Front  1",SPENCER AVE,HANCOCK ST,CEDAR ST,760866.07,2968473.3,6/12/2009,11/14/2009,Brad Arndt,2143,6767
Acer pseudoplatanus,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"15 X ROBERTS ST Front  4",ROBERTS ST,HINCKLEY ST,DEAD END,762377.51,2969609.04,6/10/2009,11/14/2009,Brad Arndt,1490,5570
Acer pseudoplatanus,7,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"10 BROADWAY Side  1",CHARLES E RYAN ROAD,CUTLER ST,BROADWAY,762330.5,2969528.11,6/10/2009,11/14/2009,Brad Arndt,1492,5571
Acer pseudoplatanus,7,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"10 BROADWAY Side  2",CHARLES E RYAN ROAD,CUTLER ST,BROADWAY,762341.9,2969547.1,6/10/2009,11/14/2009,Brad Arndt,1493,5572
Acer pseudoplatanus,10,1,Poor,No,No,None,4 to 20,5,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"10 BROADWAY Side  3",CHARLES E RYAN ROAD,CUTLER ST,BROADWAY,762349.49,2969563.56,6/10/2009,11/14/2009,Brad Arndt,1494,5573
Acer pseudoplatanus,12,1,Poor,No,Yes,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"10 BROADWAY Side  4",CHARLES E RYAN ROAD,CUTLER ST,BROADWAY,762360.89,2969580.02,6/10/2009,11/14/2009,Brad Arndt,1495,5578
Acer pseudoplatanus,21,1,Poor,Yes,No,26 - 50,4 to 20,9,High,Intermittent,Remove,No,No,No,Weak or Prone to Failure,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"16 PRESTON RD Front  1",PRESTON RD,PRESTON RD,SCHOOL ST,763796.14,2965208.73,5/16/2009,11/14/2009,Brad Arndt,4211,633
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"60 X CHESTNUT ST Front  1",CHESTNUT ST,POPLAR ST,FITCHBURG ST,768050.28,2962801.61,6/17/2009,11/14/2009,Brad Arndt,9411,9054
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"45 X ENDICOTT AVE Front  2",ENDICOTT AVE,BROADWAY,HOOKER AVE,755885.04,2972110.45,6/12/2009,11/14/2009,Brad Arndt,8609,8389
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,5,RG,Good,No,"28 CEDAR ST Front  1",CEDAR ST,SARTWELL AVE,WADE CT,760267.76,2967055.09,6/8/2009,11/14/2009,Brad Arndt,7461,5401
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"50 X CHESTNUT ST Front  1",CHESTNUT ST,POPLAR ST,FITCHBURG ST,768118.27,2962704.96,6/17/2009,11/14/2009,Brad Arndt,9414,9055
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"50 X CHESTNUT ST Front  2",CHESTNUT ST,POPLAR ST,FITCHBURG ST,768125.01,2962694.28,6/17/2009,11/14/2009,Brad Arndt,9415,9057
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"50 X CHESTNUT ST Front  3",CHESTNUT ST,POPLAR ST,FITCHBURG ST,768133.44,2962681.36,6/17/2009,11/14/2009,Brad Arndt,9416,9058
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"71 LINWOOD ST Rear  2",CHESTNUT ST,POPLAR ST,FITCHBURG ST,767978.91,2962903.31,6/17/2009,11/14/2009,Brad Arndt,9409,9045
Acer rubrum,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Below 4,2,RG,Good,No,"71 LINWOOD ST Rear  3",CHESTNUT ST,POPLAR ST,FITCHBURG ST,768016,2962851.62,6/17/2009,11/14/2009,Brad Arndt,9410,9050
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"1007 BROADWAY Front  1",BROADWAY,MASON ST,PACKARD AVE,758026.13,2971636.07,6/15/2009,11/14/2009,Brad Arndt,8804,8527
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"1355 X BROADWAY Front  8",BROADWAY,NORTH ST,ALEWIFE BROOK PARKWAY,755281.49,2973448.57,6/13/2009,11/14/2009,Brad Arndt,8700,8414
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"1355 X BROADWAY Front  10",BROADWAY,NORTH ST,ALEWIFE BROOK PARKWAY,755263.33,2973459.36,6/13/2009,11/14/2009,Brad Arndt,8702,8418
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"184 BOSTON AVE Front  1",BOSTON AVE,CITY LIMITS,MYSTIC VALLEY PARKWAY,756553.43,2976799.74,6/15/2009,11/14/2009,Brad Arndt,8837,8531
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"177 BOSTON AVE Front  1",BOSTON AVE,MYSTIC VALLEY PARKWAY,IRVINGTON ROAD,756474.2,2976808.3,6/15/2009,11/14/2009,Brad Arndt,8850,8546
Acer rubrum,1,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"193 BOSTON AVE Front  1",BOSTON AVE,IRVINGTON ROAD,CITY LIMITS,756627.85,2976675.37,6/15/2009,11/14/2009,Brad Arndt,8834,8530
Acer rubrum,1,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"168 BROADWAY Front  2",BROADWAY,AUTUMN ST,CROSS ST,767952.08,2966930.57,6/2/2009,11/14/2009,Brad Arndt,6167,4225
Acer rubrum,1,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,7,RG,Good,No,"315 ALEWIFE BROOK PARKWAY Front  1",ALEWIFE BROOK PARKWAY,POWDER HOUSE BOULEVARD,HIGH ST,755916.57,2974698.32,6/15/2009,11/14/2009,Brad Arndt,8993,8750
Acer rubrum,1,1,Fair,Yes,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,3,RG,Good,No,"21 X BRASTOW AVE Front  2",BRASTOW AVE,LOWELL ST,PORTER ST,761519.93,2966969.16,6/9/2009,11/14/2009,Brad Arndt,7640,5407
Acer rubrum,1,1,Poor,No,No,0 - 25,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"4 HILL ST Side  1",BROADWAY,HILL ST,DICKSON ST,756578.13,2972403.21,6/13/2009,11/14/2009,Brad Arndt,8732,8518
Acer rubrum,1,1,Poor,No,No,51 - 75,1 to 4,5,Moderate,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,RG,Good,No,"322 SUMMER ST Front  1",SUMMER ST,ST JAMES AVE,WILLOW AVE,759303.36,2968489.59,6/9/2009,11/14/2009,Brad Arndt,7856,5853
Acer rubrum,1,1,Poor,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,7,RG,Good,No,"268 POWDER HOUSE BOULEVARD Front  3",POWDER HOUSE BOULEVARD,ALEWIFE BROOK PARKWAY,NORTH ST,755964.89,2973697.53,6/16/2009,11/14/2009,Brad Arndt,9220,8963
Acer rubrum,1,1,Poor,No,No,None,1 to 4,6,Moderate,Frequent,Remove,No,No,No,Durable Species,No,No,No,Above 4,7,RG,Good,No,"315 ALEWIFE BROOK PARKWAY Front  2",ALEWIFE BROOK PARKWAY,POWDER HOUSE BOULEVARD,HIGH ST,755912.56,2974714.36,6/15/2009,11/14/2009,Brad Arndt,8994,7961
Acer rubrum,1,1,Poor,Yes,No,51 - 75,1 to 4,5,Moderate,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"46 FAIRFAX ST Front  1",FAIRFAX ST,ALEWIFE BROOK PARKWAY,NORTH ST,756117.79,2975296.86,6/16/2009,11/14/2009,Brad Arndt,9072,8874
Acer rubrum,1,6,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,1,RG,Fair,No,"100 X McGRATH HIGHWAY Median  12",McGRATH HIGHWAY,BROADWAY,MYSTIC AVE,768075.76,2968350.85,6/6/2009,11/14/2009,Brad Arndt,7151,4789
Acer rubrum,2,1,Good,No,No,0 - 25,1 to 4,6,Low,Frequent,Maintain,Yes,No,No,Avg. Species or Mod. Strength,No,No,No,Tree Pit or Planter,3,RG,Good,No,"150 HIGHLAND AVE Front  1",HIGHLAND AVE,CENTRAL ST,TRULL LANE,763371.1,2966761.86,5/14/2009,11/14/2009,Brad Arndt,3969,122
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"105 BROADWAY Side  1",ILLINOIS AVE,BROADWAY,PENNSYLVANIA AVE,768775.36,2966599.69,5/27/2009,11/14/2009,Brad Arndt,5985,2279
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"105 BROADWAY Side  2",ILLINOIS AVE,BROADWAY,PENNSYLVANIA AVE,768785.01,2966612.35,5/27/2009,11/14/2009,Brad Arndt,5986,2280
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"10 INDIANA AVE Front  2",INDIANA AVE,PENNSYLVANIA AVE,BROADWAY,768957.47,2966564.11,5/27/2009,11/14/2009,Brad Arndt,6002,2296
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"35 MINNESOTA AVE Front  1",MINNESOTA AVE,BROADWAY,PENNSYLVANIA AVE,768475.65,2967202.66,6/1/2009,11/14/2009,Brad Arndt,6044,3678
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"166 PEARL ST Side  1",DELAWARE ST,PEARL ST,DELAWARE ST,767025.8,2966004.25,6/2/2009,11/14/2009,Brad Arndt,6275,3895
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"168 PEARL ST Front  1",PEARL ST,McGRATH HIGHWAY,DELAWARE ST,766960.39,2966056.37,6/2/2009,11/14/2009,Brad Arndt,6273,3893
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"27 VIRGINIA ST Side  2",JASPER ST,VIRGINIA ST,PEARL ST,766309.54,2966217.82,6/3/2009,11/14/2009,Brad Arndt,6480,4094
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"14 LANDERS ST Front  1",LANDERS ST,DEAD END,SCHOOL ST,763762.83,2964960.52,5/16/2009,11/14/2009,Brad Arndt,4270,683
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,5,RG,Good,No,"270 HIGHLAND AVE Side  1",CONWELL ST,HIGHLAND AVE,DEAD END,761226.9,2967872.03,6/9/2009,11/14/2009,Brad Arndt,7660,5271
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,5,RG,Good,No,"270 HIGHLAND AVE Side  2",CONWELL ST,HIGHLAND AVE,DEAD END,761216.79,2967852.33,6/9/2009,11/14/2009,Brad Arndt,7661,5272
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,5,RG,Good,No,"270 HIGHLAND AVE Side  3",CONWELL ST,HIGHLAND AVE,DEAD END,761205.17,2967828.08,6/9/2009,11/14/2009,Brad Arndt,7662,5273
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,6,RG,Good,No,"2 WINDSOR RD Front  1",WINDSOR RD,WILLOW AVE,HANCOCK ST,760089.59,2968400.1,6/9/2009,11/14/2009,Brad Arndt,7840,5450
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,6,AD,Good,No,"18 HENRY AVE Front  1",HENRY AVE,LEXINGTON AVE,HIGHLAND AVE,759954.5,2969001.48,6/12/2009,11/14/2009,Brad Arndt,2100,6161
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,RG,Good,No,"19 DELAWARE ST Side  1",DELAWARE ST,PEARL ST,DELAWARE ST,767002.4,2965948.4,6/2/2009,11/14/2009,Brad Arndt,6276,3896
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,RG,Good,No,"27 VIRGINIA ST Side  1",JASPER ST,VIRGINIA ST,PEARL ST,766299.38,2966194.43,6/3/2009,11/14/2009,Brad Arndt,6479,4093
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"51 OAK ST Front  1",OAK ST,PROSPECT ST,HOUGHTON ST,764535.19,2962145.34,5/20/2009,11/14/2009,Brad Arndt,5029,1357
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"50 GARRISON AVE Front  1",GARRISON AVE,HOOKER AVE,BROADWAY,755582.2,2972443.79,6/12/2009,11/14/2009,Brad Arndt,8624,8306
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"20 GORHAM ST Front  1",GORHAM ST,HOWARD ST,HOLLAND ST,757259.15,2970698.36,6/12/2009,11/14/2009,Brad Arndt,8409,8094
Acer rubrum,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"137 BROADWAY Side  1",WISCONSIN AVE,BROADWAY,PENNSYLVANIA AVE,768422.6,2966788.43,5/27/2009,11/14/2009,Brad Arndt,5947,2241
